MEMÓRIA LIMPA
Logging to logs-Random\active_learning_20250712_170701
C:\Users\Gabriel\AppData\Roaming\Python\Python313\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Encontradas 91792 imagens no pool
Using cuda device
---------------------------------
| custom/            |          |
|    images_selected | 417      |
|    mean_confidence | 0.594    |
|    mean_entropy    | 0.745    |
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | 125      |
| time/              |          |
|    fps             | 14       |
|    iterations      | 1        |
|    time_elapsed    | 143      |
|    total_timesteps | 2048     |
---------------------------------
----------------------------------------
| custom/                 |            |
|    images_selected      | 762        |
|    mean_confidence      | 0.6        |
|    mean_entropy         | 0.75       |
| rollout/                |            |
|    ep_len_mean          | 1.01e+03   |
|    ep_rew_mean          | 228        |
| time/                   |            |
|    fps                  | 14         |
|    iterations           | 2          |
|    time_elapsed         | 281        |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.09837121 |
|    clip_fraction        | 0.284      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.301     |
|    explained_variance   | 0.706      |
|    learning_rate        | 0.0001     |
|    loss                 | 0.786      |
|    n_updates            | 10         |
|    policy_gradient_loss | 0.0136     |
|    value_loss           | 2.01       |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    images_selected      | 181         |
|    mean_confidence      | 0.594       |
|    mean_entropy         | 0.756       |
| rollout/                |             |
|    ep_len_mean          | 181         |
|    ep_rew_mean          | 56.1        |
| time/                   |             |
|    fps                  | 14          |
|    iterations           | 3           |
|    time_elapsed         | 418         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.030253917 |
|    clip_fraction        | 0.347       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.506      |
|    explained_variance   | 0.302       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.375       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0165     |
|    value_loss           | 1.22        |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    images_selected      | 680        |
|    mean_confidence      | 0.601      |
|    mean_entropy         | 0.757      |
| rollout/                |            |
|    ep_len_mean          | 693        |
|    ep_rew_mean          | 209        |
| time/                   |            |
|    fps                  | 14         |
|    iterations           | 4          |
|    time_elapsed         | 553        |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.04556173 |
|    clip_fraction        | 0.0974     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.414     |
|    explained_variance   | -0.646     |
|    learning_rate        | 0.0001     |
|    loss                 | 1.83       |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0039    |
|    value_loss           | 2.31       |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    images_selected      | 111         |
|    mean_confidence      | 0.598       |
|    mean_entropy         | 0.773       |
| rollout/                |             |
|    ep_len_mean          | 116         |
|    ep_rew_mean          | 34.2        |
| time/                   |             |
|    fps                  | 14          |
